year,site,taxa,species,count,funct_group
2006,NAPL,KELP,Macrocystis pyrifera,1603,giant.kelp
2006,SCDI,KELP,Macrocystis pyrifera,0,giant.kelp
2006,SCTW,KELP,Macrocystis pyrifera,34,giant.kelp
2007,ABUR,KELP,Macrocystis pyrifera,98,giant.kelp
2007,AHND,KELP,Macrocystis pyrifera,992,giant.kelp
2007,AQUE,KELP,Macrocystis pyrifera,2622,giant.kelp
2007,BULL,KELP,Macrocystis pyrifera,1313,giant.kelp
2007,CARP,KELP,Macrocystis pyrifera,4331,giant.kelp
2007,GOLB,KELP,Macrocystis pyrifera,1721,giant.kelp
2007,IVEE,KELP,Macrocystis pyrifera,1272,giant.kelp
2007,MOHK,KELP,Macrocystis pyrifera,1762,giant.kelp
2007,NAPL,KELP,Macrocystis pyrifera,2236,giant.kelp
2007,SCDI,KELP,Macrocystis pyrifera,0,giant.kelp
2007,SCTW,KELP,Macrocystis pyrifera,14,giant.kelp
2008,ABUR,KELP,Macrocystis pyrifera,545,giant.kelp
2008,AHND,KELP,Macrocystis pyrifera,377,giant.kelp
2008,AQUE,KELP,Macrocystis pyrifera,2059,giant.kelp
2008,BULL,KELP,Macrocystis pyrifera,702,giant.kelp
2008,CARP,KELP,Macrocystis pyrifera,8798,giant.kelp
2008,GOLB,KELP,Macrocystis pyrifera,480,giant.kelp
2008,IVEE,KELP,Macrocystis pyrifera,748,giant.kelp
2008,MOHK,KELP,Macrocystis pyrifera,1418,giant.kelp
2008,NAPL,KELP,Macrocystis pyrifera,954,giant.kelp
2008,SCDI,KELP,Macrocystis pyrifera,76,giant.kelp
2008,SCTW,KELP,Macrocystis pyrifera,496,giant.kelp
2009,ABUR,KELP,Macrocystis pyrifera,38,giant.kelp
2009,AHND,KELP,Macrocystis pyrifera,249,giant.kelp
2009,AQUE,KELP,Macrocystis pyrifera,1803,giant.kelp
2009,BULL,KELP,Macrocystis pyrifera,1395,giant.kelp
2009,CARP,KELP,Macrocystis pyrifera,2329,giant.kelp
2009,GOLB,KELP,Macrocystis pyrifera,1262,giant.kelp
2009,IVEE,KELP,Macrocystis pyrifera,936,giant.kelp
2009,MOHK,KELP,Macrocystis pyrifera,1481,giant.kelp
2009,NAPL,KELP,Macrocystis pyrifera,408,giant.kelp
2009,SCDI,KELP,Macrocystis pyrifera,59,giant.kelp
2009,SCTW,KELP,Macrocystis pyrifera,1263,giant.kelp
2010,ABUR,KELP,Macrocystis pyrifera,34,giant.kelp
2010,AHND,KELP,Macrocystis pyrifera,36,giant.kelp
2010,AQUE,KELP,Macrocystis pyrifera,97,giant.kelp
2010,BULL,KELP,Macrocystis pyrifera,1107,giant.kelp
2010,CARP,KELP,Macrocystis pyrifera,809,giant.kelp
2010,GOLB,KELP,Macrocystis pyrifera,367,giant.kelp
2010,IVEE,KELP,Macrocystis pyrifera,43,giant.kelp
2010,MOHK,KELP,Macrocystis pyrifera,904,giant.kelp
2010,NAPL,KELP,Macrocystis pyrifera,453,giant.kelp
2010,SCDI,KELP,Macrocystis pyrifera,58,giant.kelp
2010,SCTW,KELP,Macrocystis pyrifera,1388,giant.kelp
2011,ABUR,KELP,Macrocystis pyrifera,91,giant.kelp
2011,AHND,KELP,Macrocystis pyrifera,76,giant.kelp
2011,AQUE,KELP,Macrocystis pyrifera,670,giant.kelp
2011,BULL,KELP,Macrocystis pyrifera,101,giant.kelp
2011,CARP,KELP,Macrocystis pyrifera,1173,giant.kelp
2011,GOLB,KELP,Macrocystis pyrifera,519,giant.kelp
2011,IVEE,KELP,Macrocystis pyrifera,2657,giant.kelp
2011,MOHK,KELP,Macrocystis pyrifera,1840,giant.kelp
2011,NAPL,KELP,Macrocystis pyrifera,378,giant.kelp
2011,SCDI,KELP,Macrocystis pyrifera,13,giant.kelp
2011,SCTW,KELP,Macrocystis pyrifera,641,giant.kelp
2012,ABUR,KELP,Macrocystis pyrifera,645,giant.kelp
2012,AHND,KELP,Macrocystis pyrifera,406,giant.kelp
2012,AQUE,KELP,Macrocystis pyrifera,1739,giant.kelp
2012,BULL,KELP,Macrocystis pyrifera,935,giant.kelp
2012,CARP,KELP,Macrocystis pyrifera,745,giant.kelp
2012,GOLB,KELP,Macrocystis pyrifera,804,giant.kelp
2012,IVEE,KELP,Macrocystis pyrifera,1023,giant.kelp
2012,MOHK,KELP,Macrocystis pyrifera,1206,giant.kelp
2012,NAPL,KELP,Macrocystis pyrifera,981,giant.kelp
2012,SCDI,KELP,Macrocystis pyrifera,1,giant.kelp
2012,SCTW,KELP,Macrocystis pyrifera,231,giant.kelp
2013,ABUR,KELP,Macrocystis pyrifera,525,giant.kelp
2013,AHND,KELP,Macrocystis pyrifera,846,giant.kelp
2013,AQUE,KELP,Macrocystis pyrifera,3538,giant.kelp
2013,BULL,KELP,Macrocystis pyrifera,1016,giant.kelp
2013,CARP,KELP,Macrocystis pyrifera,161,giant.kelp
2013,GOLB,KELP,Macrocystis pyrifera,106,giant.kelp
2013,IVEE,KELP,Macrocystis pyrifera,2566,giant.kelp
2013,MOHK,KELP,Macrocystis pyrifera,755,giant.kelp
2013,NAPL,KELP,Macrocystis pyrifera,1030,giant.kelp
2013,SCDI,KELP,Macrocystis pyrifera,16,giant.kelp
2013,SCTW,KELP,Macrocystis pyrifera,253,giant.kelp
2014,ABUR,KELP,Macrocystis pyrifera,209,giant.kelp
2014,AHND,KELP,Macrocystis pyrifera,36,giant.kelp
2014,AQUE,KELP,Macrocystis pyrifera,708,giant.kelp
2014,BULL,KELP,Macrocystis pyrifera,1050,giant.kelp
2014,CARP,KELP,Macrocystis pyrifera,421,giant.kelp
2014,GOLB,KELP,Macrocystis pyrifera,285,giant.kelp
2014,IVEE,KELP,Macrocystis pyrifera,3461,giant.kelp
2014,MOHK,KELP,Macrocystis pyrifera,1353,giant.kelp
2014,NAPL,KELP,Macrocystis pyrifera,2733,giant.kelp
2014,SCDI,KELP,Macrocystis pyrifera,36,giant.kelp
2014,SCTW,KELP,Macrocystis pyrifera,109,giant.kelp
2015,ABUR,KELP,Macrocystis pyrifera,323,giant.kelp
2015,AHND,KELP,Macrocystis pyrifera,991,giant.kelp
2015,AQUE,KELP,Macrocystis pyrifera,2929,giant.kelp
2015,BULL,KELP,Macrocystis pyrifera,1542,giant.kelp
2015,CARP,KELP,Macrocystis pyrifera,750,giant.kelp
2015,GOLB,KELP,Macrocystis pyrifera,248,giant.kelp
2015,IVEE,KELP,Macrocystis pyrifera,3614,giant.kelp
2015,MOHK,KELP,Macrocystis pyrifera,2082,giant.kelp
2015,NAPL,KELP,Macrocystis pyrifera,4359,giant.kelp
2015,SCDI,KELP,Macrocystis pyrifera,10,giant.kelp
2015,SCTW,KELP,Macrocystis pyrifera,0,giant.kelp
2016,ABUR,KELP,Macrocystis pyrifera,23,giant.kelp
2016,AHND,KELP,Macrocystis pyrifera,136,giant.kelp
2016,AQUE,KELP,Macrocystis pyrifera,1874,giant.kelp
2016,BULL,KELP,Macrocystis pyrifera,438,giant.kelp
2016,CARP,KELP,Macrocystis pyrifera,5507,giant.kelp
2016,GOLB,KELP,Macrocystis pyrifera,211,giant.kelp
2016,IVEE,KELP,Macrocystis pyrifera,2290,giant.kelp
2016,MOHK,KELP,Macrocystis pyrifera,849,giant.kelp
2016,NAPL,KELP,Macrocystis pyrifera,5003,giant.kelp
2016,SCDI,KELP,Macrocystis pyrifera,0,giant.kelp
2016,SCTW,KELP,Macrocystis pyrifera,20,giant.kelp
2017,ABUR,KELP,Macrocystis pyrifera,17,giant.kelp
2017,AHND,KELP,Macrocystis pyrifera,0,giant.kelp
2017,AQUE,KELP,Macrocystis pyrifera,2056,giant.kelp
2017,BULL,KELP,Macrocystis pyrifera,491,giant.kelp
2017,CARP,KELP,Macrocystis pyrifera,5890,giant.kelp
2017,GOLB,KELP,Macrocystis pyrifera,544,giant.kelp
2017,IVEE,KELP,Macrocystis pyrifera,3703,giant.kelp
2017,MOHK,KELP,Macrocystis pyrifera,347,giant.kelp
2017,NAPL,KELP,Macrocystis pyrifera,5027,giant.kelp
2018,ABUR,KELP,Macrocystis pyrifera,1155,giant.kelp
2018,AHND,KELP,Macrocystis pyrifera,0,giant.kelp
2018,AQUE,KELP,Macrocystis pyrifera,1880,giant.kelp
2018,BULL,KELP,Macrocystis pyrifera,533,giant.kelp
2018,CARP,KELP,Macrocystis pyrifera,387,giant.kelp
2018,GOLB,KELP,Macrocystis pyrifera,703,giant.kelp
2018,IVEE,KELP,Macrocystis pyrifera,3109,giant.kelp
2018,MOHK,KELP,Macrocystis pyrifera,1287,giant.kelp
2018,NAPL,KELP,Macrocystis pyrifera,3851,giant.kelp
2018,SCDI,KELP,Macrocystis pyrifera,0,giant.kelp
2018,SCTW,KELP,Macrocystis pyrifera,0,giant.kelp
2000,BULL,FISH,Chromis punctipinnis,0,planktivorous.fish
2000,BULL,FISH,Embiotoca jacksoni,12,mobile.sm.inv.eating.fish
2000,BULL,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2000,BULL,FISH,Girella nigricans,0,herbivorous.fish
2000,BULL,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2000,BULL,FISH,Oxyjulis californica,14,mobile.sm.inv.eating.fish
2000,BULL,FISH,Paralabrax clathratus,3,piscivores
2000,BULL,FISH,Rhacochilus vacca,0,mobile.sm.inv.eating.fish
2000,BULL,FISH,Sebastes atrovirens,0,piscivores
2000,BULL,FISH,Sebastes mystinus,0,planktivorous.fish
2000,BULL,FISH,Sebastes serranoides,0,piscivores
2000,BULL,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2000,CARP,FISH,Chromis punctipinnis,0,planktivorous.fish
2000,CARP,FISH,Embiotoca jacksoni,0,mobile.sm.inv.eating.fish
2000,CARP,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2000,CARP,FISH,Girella nigricans,0,herbivorous.fish
2000,CARP,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2000,CARP,FISH,Oxyjulis californica,0,mobile.sm.inv.eating.fish
2000,CARP,FISH,Paralabrax clathratus,6,piscivores
2000,CARP,FISH,Rhacochilus vacca,4,mobile.sm.inv.eating.fish
2000,CARP,FISH,Sebastes atrovirens,0,piscivores
2000,CARP,FISH,Sebastes mystinus,0,planktivorous.fish
2000,CARP,FISH,Sebastes serranoides,0,piscivores
2000,CARP,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2000,NAPL,FISH,Chromis punctipinnis,16,planktivorous.fish
2000,NAPL,FISH,Embiotoca jacksoni,2,mobile.sm.inv.eating.fish
2000,NAPL,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2000,NAPL,FISH,Girella nigricans,1,herbivorous.fish
2000,NAPL,FISH,Hypsypops rubicundus,3,mobile.sm.inv.eating.fish
2000,NAPL,FISH,Oxyjulis californica,43,mobile.sm.inv.eating.fish
2000,NAPL,FISH,Paralabrax clathratus,14,piscivores
2000,NAPL,FISH,Rhacochilus vacca,5,mobile.sm.inv.eating.fish
2000,NAPL,FISH,Sebastes atrovirens,1,piscivores
2000,NAPL,FISH,Sebastes mystinus,30,planktivorous.fish
2000,NAPL,FISH,Sebastes serranoides,2,piscivores
2000,NAPL,FISH,Semicossyphus pulcher,27,lg.inv.eating.fish
2001,ABUR,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2001,ABUR,FISH,Chromis punctipinnis,0,planktivorous.fish
2001,ABUR,FISH,Embiotoca jacksoni,7,mobile.sm.inv.eating.fish
2001,ABUR,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2001,ABUR,FISH,Girella nigricans,0,herbivorous.fish
2001,ABUR,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2001,ABUR,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2001,ABUR,FISH,Oxyjulis californica,2,mobile.sm.inv.eating.fish
2001,ABUR,FISH,Paralabrax clathratus,2,piscivores
2001,ABUR,FISH,Rhacochilus vacca,0,mobile.sm.inv.eating.fish
2001,ABUR,FISH,Rhinogobiops nicholsii,0,territor.sm.inv.eating.fish
2001,ABUR,FISH,Sebastes atrovirens,0,piscivores
2001,ABUR,FISH,Sebastes mystinus,0,planktivorous.fish
2001,ABUR,FISH,Sebastes serranoides,0,piscivores
2001,ABUR,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2001,AHND,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2001,AHND,FISH,Chromis punctipinnis,0,planktivorous.fish
2001,AHND,FISH,Embiotoca jacksoni,11,mobile.sm.inv.eating.fish
2001,AHND,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2001,AHND,FISH,Girella nigricans,0,herbivorous.fish
2001,AHND,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2001,AHND,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2001,AHND,FISH,Oxyjulis californica,3,mobile.sm.inv.eating.fish
2001,AHND,FISH,Paralabrax clathratus,6,piscivores
2001,AHND,FISH,Rhacochilus vacca,6,mobile.sm.inv.eating.fish
2001,AHND,FISH,Rhinogobiops nicholsii,0,territor.sm.inv.eating.fish
2001,AHND,FISH,Sebastes atrovirens,0,piscivores
2001,AHND,FISH,Sebastes mystinus,0,planktivorous.fish
2001,AHND,FISH,Sebastes serranoides,0,piscivores
2001,AHND,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2001,AQUE,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2001,AQUE,FISH,Chromis punctipinnis,5,planktivorous.fish
2001,AQUE,FISH,Embiotoca jacksoni,41,mobile.sm.inv.eating.fish
2001,AQUE,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2001,AQUE,FISH,Girella nigricans,3,herbivorous.fish
2001,AQUE,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2001,AQUE,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2001,AQUE,FISH,Oxyjulis californica,22,mobile.sm.inv.eating.fish
2001,AQUE,FISH,Paralabrax clathratus,36,piscivores
2001,AQUE,FISH,Rhacochilus vacca,15,mobile.sm.inv.eating.fish
2001,AQUE,FISH,Rhinogobiops nicholsii,15,territor.sm.inv.eating.fish
2001,AQUE,FISH,Sebastes atrovirens,19,piscivores
2001,AQUE,FISH,Sebastes mystinus,0,planktivorous.fish
2001,AQUE,FISH,Sebastes serranoides,4,piscivores
2001,AQUE,FISH,Semicossyphus pulcher,4,lg.inv.eating.fish
2001,BULL,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2001,BULL,FISH,Chromis punctipinnis,0,planktivorous.fish
2001,BULL,FISH,Embiotoca jacksoni,9,mobile.sm.inv.eating.fish
2001,BULL,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2001,BULL,FISH,Girella nigricans,2,herbivorous.fish
2001,BULL,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2001,BULL,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2001,BULL,FISH,Oxyjulis californica,11,mobile.sm.inv.eating.fish
2001,BULL,FISH,Paralabrax clathratus,2,piscivores
2001,BULL,FISH,Rhacochilus vacca,7,mobile.sm.inv.eating.fish
2001,BULL,FISH,Rhinogobiops nicholsii,0,territor.sm.inv.eating.fish
2001,BULL,FISH,Sebastes atrovirens,2,piscivores
2001,BULL,FISH,Sebastes mystinus,0,planktivorous.fish
2001,BULL,FISH,Sebastes serranoides,0,piscivores
2001,BULL,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2001,CARP,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2001,CARP,FISH,Chromis punctipinnis,0,planktivorous.fish
2001,CARP,FISH,Embiotoca jacksoni,16,mobile.sm.inv.eating.fish
2001,CARP,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2001,CARP,FISH,Girella nigricans,24,herbivorous.fish
2001,CARP,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2001,CARP,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2001,CARP,FISH,Oxyjulis californica,0,mobile.sm.inv.eating.fish
2001,CARP,FISH,Paralabrax clathratus,9,piscivores
2001,CARP,FISH,Rhacochilus vacca,13,mobile.sm.inv.eating.fish
2001,CARP,FISH,Rhinogobiops nicholsii,0,territor.sm.inv.eating.fish
2001,CARP,FISH,Sebastes atrovirens,0,piscivores
2001,CARP,FISH,Sebastes mystinus,0,planktivorous.fish
2001,CARP,FISH,Sebastes serranoides,0,piscivores
2001,CARP,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2001,GOLB,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2001,GOLB,FISH,Chromis punctipinnis,0,planktivorous.fish
2001,GOLB,FISH,Embiotoca jacksoni,10,mobile.sm.inv.eating.fish
2001,GOLB,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2001,GOLB,FISH,Girella nigricans,0,herbivorous.fish
2001,GOLB,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2001,GOLB,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2001,GOLB,FISH,Oxyjulis californica,0,mobile.sm.inv.eating.fish
2001,GOLB,FISH,Paralabrax clathratus,2,piscivores
2001,GOLB,FISH,Rhacochilus vacca,4,mobile.sm.inv.eating.fish
2001,GOLB,FISH,Rhinogobiops nicholsii,0,territor.sm.inv.eating.fish
2001,GOLB,FISH,Sebastes atrovirens,0,piscivores
2001,GOLB,FISH,Sebastes mystinus,0,planktivorous.fish
2001,GOLB,FISH,Sebastes serranoides,0,piscivores
2001,GOLB,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2001,IVEE,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2001,IVEE,FISH,Chromis punctipinnis,0,planktivorous.fish
2001,IVEE,FISH,Embiotoca jacksoni,0,mobile.sm.inv.eating.fish
2001,IVEE,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2001,IVEE,FISH,Girella nigricans,0,herbivorous.fish
2001,IVEE,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2001,IVEE,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2001,IVEE,FISH,Oxyjulis californica,3,mobile.sm.inv.eating.fish
2001,IVEE,FISH,Paralabrax clathratus,7,piscivores
2001,IVEE,FISH,Rhacochilus vacca,0,mobile.sm.inv.eating.fish
2001,IVEE,FISH,Rhinogobiops nicholsii,0,territor.sm.inv.eating.fish
2001,IVEE,FISH,Sebastes atrovirens,0,piscivores
2001,IVEE,FISH,Sebastes mystinus,0,planktivorous.fish
2001,IVEE,FISH,Sebastes serranoides,0,piscivores
2001,IVEE,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2001,MOHK,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2001,MOHK,FISH,Chromis punctipinnis,6,planktivorous.fish
2001,MOHK,FISH,Embiotoca jacksoni,14,mobile.sm.inv.eating.fish
2001,MOHK,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2001,MOHK,FISH,Girella nigricans,0,herbivorous.fish
2001,MOHK,FISH,Hypsypops rubicundus,2,mobile.sm.inv.eating.fish
2001,MOHK,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2001,MOHK,FISH,Oxyjulis californica,11,mobile.sm.inv.eating.fish
2001,MOHK,FISH,Paralabrax clathratus,1,piscivores
2001,MOHK,FISH,Rhacochilus vacca,2,mobile.sm.inv.eating.fish
2001,MOHK,FISH,Rhinogobiops nicholsii,0,territor.sm.inv.eating.fish
2001,MOHK,FISH,Sebastes atrovirens,0,piscivores
2001,MOHK,FISH,Sebastes mystinus,0,planktivorous.fish
2001,MOHK,FISH,Sebastes serranoides,0,piscivores
2001,MOHK,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2001,NAPL,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2001,NAPL,FISH,Chromis punctipinnis,47,planktivorous.fish
2001,NAPL,FISH,Embiotoca jacksoni,8,mobile.sm.inv.eating.fish
2001,NAPL,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2001,NAPL,FISH,Girella nigricans,4,herbivorous.fish
2001,NAPL,FISH,Hypsypops rubicundus,3,mobile.sm.inv.eating.fish
2001,NAPL,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2001,NAPL,FISH,Oxyjulis californica,82,mobile.sm.inv.eating.fish
2001,NAPL,FISH,Paralabrax clathratus,10,piscivores
2001,NAPL,FISH,Rhacochilus vacca,6,mobile.sm.inv.eating.fish
2001,NAPL,FISH,Rhinogobiops nicholsii,92,territor.sm.inv.eating.fish
2001,NAPL,FISH,Sebastes atrovirens,2,piscivores
2001,NAPL,FISH,Sebastes mystinus,4,planktivorous.fish
2001,NAPL,FISH,Sebastes serranoides,1,piscivores
2001,NAPL,FISH,Semicossyphus pulcher,35,lg.inv.eating.fish
2002,ABUR,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2002,ABUR,FISH,Chromis punctipinnis,0,planktivorous.fish
2002,ABUR,FISH,Embiotoca jacksoni,3,mobile.sm.inv.eating.fish
2002,ABUR,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2002,ABUR,FISH,Girella nigricans,0,herbivorous.fish
2002,ABUR,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2002,ABUR,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2002,ABUR,FISH,Oxyjulis californica,0,mobile.sm.inv.eating.fish
2002,ABUR,FISH,Paralabrax clathratus,0,piscivores
2002,ABUR,FISH,Rhacochilus vacca,0,mobile.sm.inv.eating.fish
2002,ABUR,FISH,Rhinogobiops nicholsii,0,territor.sm.inv.eating.fish
2002,ABUR,FISH,Sebastes atrovirens,0,piscivores
2002,ABUR,FISH,Sebastes mystinus,0,planktivorous.fish
2002,ABUR,FISH,Sebastes serranoides,0,piscivores
2002,ABUR,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2002,AHND,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2002,AHND,FISH,Chromis punctipinnis,0,planktivorous.fish
2002,AHND,FISH,Embiotoca jacksoni,7,mobile.sm.inv.eating.fish
2002,AHND,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2002,AHND,FISH,Girella nigricans,0,herbivorous.fish
2002,AHND,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2002,AHND,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2002,AHND,FISH,Oxyjulis californica,18,mobile.sm.inv.eating.fish
2002,AHND,FISH,Paralabrax clathratus,6,piscivores
2002,AHND,FISH,Rhacochilus vacca,0,mobile.sm.inv.eating.fish
2002,AHND,FISH,Rhinogobiops nicholsii,2,territor.sm.inv.eating.fish
2002,AHND,FISH,Sebastes atrovirens,0,piscivores
2002,AHND,FISH,Sebastes mystinus,0,planktivorous.fish
2002,AHND,FISH,Sebastes serranoides,0,piscivores
2002,AHND,FISH,Semicossyphus pulcher,0,lg.inv.eating.fish
2002,AQUE,FISH,Alloclinus holderi,0,mobile.sm.inv.eating.fish
2002,AQUE,FISH,Chromis punctipinnis,0,planktivorous.fish
2002,AQUE,FISH,Embiotoca jacksoni,7,mobile.sm.inv.eating.fish
2002,AQUE,FISH,Embiotoca lateralis,0,mobile.sm.inv.eating.fish
2002,AQUE,FISH,Girella nigricans,1,herbivorous.fish
2002,AQUE,FISH,Hypsypops rubicundus,0,mobile.sm.inv.eating.fish
2002,AQUE,FISH,Lythrypnus dalli,0,territor.sm.inv.eating.fish
2002,AQUE,FISH,Oxyjulis californica,5,mobile.sm.inv.eating.fish
2002,AQUE,FISH,Paralabrax clathratus,9,piscivores
